"";"CD_PROGRAMA_IES";"NM_AREA_AVALIACAO";"CS_STATUS_JURIDICO";"DS_DEPENDENCIA_ADMINISTRATIVA";"ANO_INICIO_PROGRAMA";"NM_MODALIDADE_PROGRAMA";"CD_CONCEITO_PROGRAMA";"FCDo";"FCDi";"CC";"CP";"IMI"
"1";"10001018002P1";"CIÊNCIAS BIOLÓGICAS III";"FEDERAL";"PÚBLICA";2001;"ACADÊMICO";"3";0,533333333333333;0,258620689655172;0,446154143475572;0,615740740740741;0,463462226801205
"2";"10001018004P4";"INTERDISCIPLINAR";"FEDERAL";"PÚBLICA";1999;"ACADÊMICO";"4";0,822222222222222;0,8125;0,451680672268908;0,524652777777778;0,652763918067227
"3";"10001018005P0";"GEOGRAFIA";"FEDERAL";"PÚBLICA";2006;"ACADÊMICO";"4";0,333333333333333;0,329545454545455;0,544642857142857;0,500980392156863;0,427125509294627
"4";"10001018006P7";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"FEDERAL";"PÚBLICA";2006;"ACADÊMICO";"4";0,666666666666667;0,458333333333333;0,791666666666667;0,43525641025641;0,587980769230769
"5";"10001018009P6";"PSICOLOGIA";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"3";0,433333333333333;0,403846153846154;0,553571428571429;0,425555555555556;0,454076617826618
"6";"10001018010P4";"LETRAS / LINGUÍSTICA";"FEDERAL";"PÚBLICA";2010;"ACADÊMICO";"3";0,466666666666667;0,424657534246575;0,6;0,44047619047619;0,482950097847358
"7";"10001018012P7";"LETRAS / LINGUÍSTICA";"FEDERAL";"PÚBLICA";2011;"ACADÊMICO";"3";0,595238095238095;0,673913043478261;0,642857142857143;0,453125;0,591283320393375
"8";"10001018016P2";"EDUCAÇÃO";"FEDERAL";"PÚBLICA";2014;"PROFISSIONAL";"3";0,490196078431373;0,481481481481481;0,612179487179487;0,451315789473684;0,508793209141506
"9";"10001018017P9";"CIÊNCIAS AMBIENTAIS";"FEDERAL";"PÚBLICA";2013;"ACADÊMICO";"3";0,711111111111111;0,672727272727273;0,560164835164835;0,436858974358974;0,595215548340548
"10";"11001011004P7";"CIÊNCIAS AGRÁRIAS I";"FEDERAL";"PÚBLICA";2006;"ACADÊMICO";"3";0,411764705882353;0,191176470588235;0,386363636363636;0,451388888888889;0,360173425430778
"11";"11001011006P0";"INTERDISCIPLINAR";"FEDERAL";"PÚBLICA";2011;"ACADÊMICO";"3";0,733333333333333;0,85;0,583333333333333;0,430952380952381;0,649404761904762
"12";"11001011070P0";"MEDICINA II";"FEDERAL";"PÚBLICA";2016;"ACADÊMICO";"3";0,698412698412698;0,3875;0,992647058823529;0,425;0,625889939309057
"13";"12001015001P0";"EDUCAÇÃO";"FEDERAL";"PÚBLICA";1987;"ACADÊMICO";"4";0,431372549019608;0,214285714285714;0,518465909090909;0,426136363636364;0,397565134008149
"14";"12001015002P7";"QUÍMICA";"FEDERAL";"PÚBLICA";1987;"ACADÊMICO";"4";0,25;0,158730158730159;0,470592948717949;0,416666666666667;0,323997443528694
"15";"12001015003P3";"CIÊNCIAS AGRÁRIAS I";"FEDERAL";"PÚBLICA";1995;"ACADÊMICO";"4";0,422222222222222;0,333333333333333;0,45093201754386;0,571296296296296;0,444445967348928
"16";"12001015006P2";"ASTRONOMIA / FÍSICA";"FEDERAL";"PÚBLICA";1999;"ACADÊMICO";"3";0,444444444444444;0,2;0,479166666666667;0,465277777777778;0,397222222222222
"17";"12001015007P9";"CIÊNCIAS AMBIENTAIS";"FEDERAL";"PÚBLICA";2000;"ACADÊMICO";"4";0,777777777777778;0,435185185185185;0,51468253968254;0,529464285714286;0,564277447089947
"18";"12001015008P5";"GEOCIÊNCIAS";"FEDERAL";"PÚBLICA";2000;"ACADÊMICO";"3";0,4;0,575757575757576;0,575980392156863;0,438095238095238;0,497458301502419
"19";"12001015012P2";"CIÊNCIA DA COMPUTAÇÃO";"FEDERAL";"PÚBLICA";2001;"ACADÊMICO";"5";0,346153846153846;0,195238095238095;0,525900900900901;0,394230769230769;0,365380902880903
"20";"12001015013P9";"BIOTECNOLOGIA";"FEDERAL";"PÚBLICA";2001;"ACADÊMICO";"4";0,567901234567901;0,278947368421053;0,494685039370079;0,427380952380952;0,442228648684996
"21";"12001015014P5";"INTERDISCIPLINAR";"FEDERAL";"PÚBLICA";1998;"ACADÊMICO";"3";0,58974358974359;0,289256198347107;0,515911872705018;0,489316239316239;0,471056975027989
"22";"12001015015P1";"MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA";"FEDERAL";"PÚBLICA";1998;"ACADÊMICO";"4";0,25;0,558823529411765;0,557575757575758;0,5890625;0,488865446746881
"23";"12001015016P8";"CIÊNCIAS AGRÁRIAS I";"FEDERAL";"PÚBLICA";2003;"ACADÊMICO";"3";0,583333333333333;0,627906976744186;0,485745614035088;0,485087719298246;0,545518410852713
"24";"12001015018P0";"INTERDISCIPLINAR";"FEDERAL";"PÚBLICA";2005;"ACADÊMICO";"3";0,722222222222222;0,447368421052632;0,666666666666667;0,563541666666667;0,599949744152047
"25";"12001015021P1";"ENGENHARIAS IV";"FEDERAL";"PÚBLICA";2005;"ACADÊMICO";"3";0,333333333333333;0,576271186440678;0,439153439153439;0,292708333333333;0,410366573065196
"26";"12001015022P8";"ENGENHARIAS I";"FEDERAL";"PÚBLICA";2006;"ACADÊMICO";"3";0,625;0,472727272727273;0,444444444444444;0,378787878787879;0,480239898989899
"27";"12001015023P4";"HISTÓRIA";"FEDERAL";"PÚBLICA";2006;"ACADÊMICO";"3";0,3125;0,2;0,533571428571429;0,462083333333333;0,37703869047619
"28";"12001015024P0";"SOCIOLOGIA";"FEDERAL";"PÚBLICA";2007;"ACADÊMICO";"3";0,452380952380952;0,459459459459459;0,586805555555556;0,447685185185185;0,486582788145288
"29";"12001015025P7";"ZOOTECNIA / RECURSOS PESQUEIROS";"FEDERAL";"PÚBLICA";2007;"ACADÊMICO";"3";0,511111111111111;0,394736842105263;0,681372549019608;0,506349206349206;0,523392427146297
"30";"12001015026P3";"GEOGRAFIA";"FEDERAL";"PÚBLICA";2007;"ACADÊMICO";"4";0,333333333333333;0,38961038961039;0,531746031746032;0,441228070175439;0,423979456216298
"31";"12001015027P0";"SERVIÇO SOCIAL";"FEDERAL";"PÚBLICA";2007;"ACADÊMICO";"3";0,538461538461538;0,71875;0,446924603174603;0,638690476190476;0,585706654456654
"32";"12001015029P2";"ANTROPOLOGIA / ARQUEOLOGIA";"FEDERAL";"PÚBLICA";2008;"ACADÊMICO";"4";0,479166666666667;0,46;0,66;0,508333333333333;0,526875
"33";"12001015032P3";"COMUNICAÇÃO E INFORMAÇÃO";"FEDERAL";"PÚBLICA";2008;"ACADÊMICO";"3";0,729166666666667;0,756756756756757;0,523684210526316;0,561904761904762;0,642878098963625
"34";"12001015033P0";"FARMÁCIA";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"3";0,729166666666667;0,578947368421053;0,483333333333333;0,465196078431373;0,564160861713106
"35";"12001015034P6";"CIÊNCIAS BIOLÓGICAS III";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"4";0,62962962962963;0,386363636363636;0,491143317230274;0,510353535353535;0,504372529644269
"36";"12001015035P2";"MATERIAIS";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"3";0,607843137254902;0,590361445783133;0,486742424242424;0,413157894736842;0,524526225504325
"37";"12001015036P9";"PSICOLOGIA";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"3";0,388888888888889;0,491525423728814;0,573717948717949;0,396666666666667;0,462699732000579
"38";"12001015037P5";"LETRAS / LINGUÍSTICA";"FEDERAL";"PÚBLICA";2010;"ACADÊMICO";"3";0,416666666666667;0,381818181818182;1;0,467283950617284;0,566442199775533
"39";"12001015039P8";"MEDICINA II";"FEDERAL";"PÚBLICA";2013;"ACADÊMICO";"3";0,805555555555555;0,692307692307692;0,977272727272727;0,620833333333333;0,773992327117327
"40";"12001015040P6";"ODONTOLOGIA";"FEDERAL";"PÚBLICA";2012;"ACADÊMICO";"3";0,523809523809524;0,78125;0,495833333333333;0,403070175438596;0,550990758145363
"41";"12001015041P2";"CIÊNCIAS AMBIENTAIS";"FEDERAL";"PÚBLICA";2012;"ACADÊMICO";"3";0,619047619047619;0,806451612903226;0,546328671328671;0,500333333333333;0,618040309153212
"42";"12001015064P2";"CIÊNCIAS AMBIENTAIS";"FEDERAL";"PÚBLICA";2015;"ACADÊMICO";"3";0,666666666666667;0,648648648648649;1;0,538157894736842;0,713368302513039
"43";"12001015066P5";"ZOOTECNIA / RECURSOS PESQUEIROS";"FEDERAL";"PÚBLICA";2016;"ACADÊMICO";"3";0,568627450980392;0,475;0,722222222222222;0,388636363636364;0,538621509209744
"44";"12008010001P9";"MEDICINA II";"ESTADUAL";"PÚBLICA";2002;"ACADÊMICO";"5";0,48;0,304878048780488;0,537726905965532;0,494761904761905;0,454341714876981
"45";"12008010002P5";"DIREITO";"ESTADUAL";"PÚBLICA";2003;"ACADÊMICO";"3";0,5;0,392156862745098;0,9375;0,425;0,563664215686274
"46";"12008010003P1";"BIOTECNOLOGIA";"ESTADUAL";"PÚBLICA";2003;"ACADÊMICO";"3";0,644444444444444;0,575;0,55;0,411111111111111;0,545138888888889
"47";"12008010007P7";"INTERDISCIPLINAR";"ESTADUAL";"PÚBLICA";2012;"PROFISSIONAL";"3";0,738095238095238;0,58695652173913;0,659090909090909;0,487916666666667;0,618014833897986
"48";"12008010008P3";"MEDICINA II";"ESTADUAL";"PÚBLICA";2013;"ACADÊMICO";"3";0,622222222222222;0,76;0,476430976430976;0,463235294117647;0,580472123192711
"49";"12008010039P6";"LETRAS / LINGUÍSTICA";"ESTADUAL";"PÚBLICA";2015;"ACADÊMICO";"3";0,555555555555555;0,526315789473684;0,625;0,424019607843137;0,532722738218094
"50";"12008010070P0";"INTERDISCIPLINAR";"ESTADUAL";"PÚBLICA";2016;"ACADÊMICO";"3";0,625;0,76271186440678;0,587344028520499;0,462301587301587;0,609339370057217
"51";"13003011001P6";"ENSINO";"ESTADUAL";"PÚBLICA";2012;"PROFISSIONAL";"3";0,666666666666667;0,425925925925926;0,524343185550082;0,460555555555556;0,519372833424558
"52";"14001012001P6";"PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA";"FEDERAL";"PÚBLICA";2006;"ACADÊMICO";"3";0,736842105263158;0,704918032786885;0,578947368421053;0,513888888888889;0,633649098839996
"53";"14001012004P5";"INTERDISCIPLINAR";"FEDERAL";"PÚBLICA";2010;"ACADÊMICO";"3";0,716666666666667;0,412371134020619;0,569736842105263;0,604807692307692;0,57589558377506
"54";"14001012005P1";"FARMÁCIA";"FEDERAL";"PÚBLICA";2013;"ACADÊMICO";"3";0,644444444444444;0,627450980392157;0,586046511627907;0,491666666666667;0,587402150782794
"55";"15001016002P5";"INTERDISCIPLINAR";"FEDERAL";"PÚBLICA";1977;"ACADÊMICO";"5";0,766666666666667;0,462121212121212;0,650595238095238;0,500347222222222;0,594932584776335
"56";"15001016003P1";"DIREITO";"FEDERAL";"PÚBLICA";1984;"ACADÊMICO";"4";0,258064516129032;0,224137931034483;0,548076923076923;0,521759259259259;0,388009657374924
"57";"15001016004P8";"ENGENHARIAS IV";"FEDERAL";"PÚBLICA";1986;"ACADÊMICO";"5";0,383333333333333;0,157232704402516;0,638888888888889;0,457440476190476;0,409223850703804
"58";"15001016007P7";"QUÍMICA";"FEDERAL";"PÚBLICA";1987;"ACADÊMICO";"4";0,194444444444444;0,174242424242424;0,420454545454545;0,485648148148148;0,318697390572391
"59";"15001016008P3";"LETRAS / LINGUÍSTICA";"FEDERAL";"PÚBLICA";1987;"ACADÊMICO";"4";0,390804597701149;0,18452380952381;0,523333333333333;0,396388888888889;0,373762657361795
